code;libelle;gid
43.21B;Travaux d'installation électrique sur la voie publique;350
43.22A;Travaux d'installation d'eau et de gaz en tous locaux;351
43.22B;Travaux d'installation d'équipements thermiques et de climatisation;352
43.29A;Travaux d'isolation;353
43.29B;Autres travaux d'installation n.c.a.;354
43.31Z;Travaux de plâtrerie;355
43.32A;Travaux de menuiserie bois et PVC;356
43.32B;Travaux de menuiserie métallique et serrurerie;357
43.32C;Agencement de lieux de vente;358
43.33Z;Travaux de revêtement des sols et des murs;359
43.34Z;Travaux de peinture et vitrerie;360
43.39Z;Autres travaux de finition;361
43.91A;Travaux de charpente;362
43.91B;Travaux de couverture par éléments;363
43.99A;Travaux d'étanchéification;364
43.99B;Travaux de montage de structures métalliques;365
43.99C;Travaux de maçonnerie générale et gros œuvre de bâtiment;366
43.99D;Autres travaux spécialisés de construction;367
43.99E;Location avec opérateur de matériel de construction;368
45.11Z;Commerce de voitures et de véhicules automobiles légers;369
45.19Z;Commerce d'autres véhicules automobiles;370
45.20A;Entretien et réparation de véhicules automobiles légers;371
45.20B;Entretien et réparation d'autres véhicules automobiles;372
45.31Z;Commerce de gros d'équipements automobiles;373
45.32Z;Commerce de détail d'équipements automobiles;374
45.40Z;Commerce et réparation de motocycles;375
46.11Z;Intermédiaires du commerce en matières premières agricoles, animaux vivants, matières premières textiles et produits semi-finis;376
46.12A;Centrales d'achat de carburant;377
46.12B;Autres intermédiaires du commerce en combustibles, métaux, minéraux et produits chimiques;378
46.13Z;Intermédiaires du commerce en bois et matériaux de construction;379
46.14Z;Intermédiaires du commerce en machines, équipements industriels, navires et avions;380
46.15Z;Intermédiaires du commerce en meubles, articles de ménage et quincaillerie;381
46.16Z;Intermédiaires du commerce en textiles, habillement, fourrures, chaussures et articles en cuir;382
46.17A;Centrales d'achat alimentaires;383
46.17B;Autres intermédiaires du commerce en denrées, boissons et tabac;384
46.18Z;Intermédiaires spécialisés dans le commerce d'autres produits spécifiques;385
46.19A;Centrales d'achat non alimentaires;386
46.19B;Autres intermédiaires du commerce en produits divers;387
46.21Z;Commerce de gros (commerce interentreprises) de céréales, de tabac non manufacturé, de semences et d'aliments pour le bétail ;388
46.22Z;Commerce de gros (commerce interentreprises) de fleurs et plantes;389
46.23Z;Commerce de gros (commerce interentreprises) d'animaux vivants;390
46.24Z;Commerce de gros (commerce interentreprises) de cuirs et peaux;391
46.31Z;Commerce de gros (commerce interentreprises) de fruits et légumes;392
46.32A;Commerce de gros (commerce interentreprises) de viandes de boucherie;393
46.32B;Commerce de gros (commerce interentreprises) de produits à base de viande;394
46.32C;Commerce de gros (commerce interentreprises) de volailles et gibier;395
46.33Z;Commerce de gros (commerce interentreprises) de produits laitiers, œufs, huiles et matières grasses comestibles;396
46.34Z;Commerce de gros (commerce interentreprises) de boissons;397
46.35Z;Commerce de gros (commerce interentreprises) de produits à base de tabac;398
46.36Z;Commerce de gros (commerce interentreprises) de sucre, chocolat et confiserie;399
46.37Z;Commerce de gros (commerce interentreprises) de café, thé, cacao et épices;400
46.38A;Commerce de gros (commerce interentreprises) de poissons, crustacés et mollusques;401
46.38B;Commerce de gros (commerce interentreprises) alimentaire spécialisé divers;402
46.39A;Commerce de gros (commerce interentreprises) de produits surgelés;403
46.39B;Commerce de gros (commerce interentreprises) alimentaire non spécialisé;404
46.41Z;Commerce de gros (commerce interentreprises) de textiles;405
46.42Z;Commerce de gros (commerce interentreprises) d'habillement et de chaussures;406
46.43Z;Commerce de gros (commerce interentreprises) d'appareils électroménagers;407
46.44Z;Commerce de gros (commerce interentreprises) de vaisselle, verrerie et produits d'entretien;408
46.45Z;Commerce de gros (commerce interentreprises) de parfumerie et de produits de beauté;409
46.46Z;Commerce de gros (commerce interentreprises) de produits pharmaceutiques;410
46.47Z;Commerce de gros (commerce interentreprises) de meubles, de tapis et d'appareils d'éclairage ;411
46.48Z;Commerce de gros (commerce interentreprises) d'articles d'horlogerie et de bijouterie;412
46.49Z;Commerce de gros (commerce interentreprises) d'autres biens domestiques ;413
46.51Z;Commerce de gros (commerce interentreprises) d'ordinateurs, d'équipements informatiques périphériques et de logiciels;414
46.52Z;Commerce de gros (commerce interentreprises) de composants et d'équipements électroniques et de télécommunication;415
46.61Z;Commerce de gros (commerce interentreprises) de matériel agricole;416
46.62Z;Commerce de gros (commerce interentreprises) de machines-outils;417
46.63Z;Commerce de gros (commerce interentreprises) de machines pour l'extraction, la construction et le génie civil ;418
46.64Z;Commerce de gros (commerce interentreprises) de machines pour l'industrie textile et l'habillement;419
46.65Z;Commerce de gros (commerce interentreprises) de mobilier de bureau;420
46.66Z;Commerce de gros (commerce interentreprises) d'autres machines et équipements de bureau ;421
46.69A;Commerce de gros (commerce interentreprises) de matériel électrique;422
46.69B;Commerce de gros (commerce interentreprises) de fournitures et équipements industriels divers;423
46.69C;Commerce de gros (commerce interentreprises) de fournitures et équipements divers pour le commerce et les services;424
46.71Z;Commerce de gros (commerce interentreprises) de combustibles et de produits annexes;425
46.72Z;Commerce de gros (commerce interentreprises) de minerais et métaux;426
46.73A;Commerce de gros (commerce interentreprises) de bois et de matériaux de construction ;427
46.73B;Commerce de gros (commerce interentreprises) d'appareils sanitaires et de produits de décoration;428
46.74A;Commerce de gros (commerce interentreprises) de quincaillerie;429
